model_name,seed,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_weighted_f1,std_test_weighted_f1,min_test_macro_f1,max_test_macro_f1,mean_best_epoch,n_success_folds,n_failed_folds
channel_shared_posres_attention_v3_no_identity,42,0.7466666666666667,0.09637888196533974,0.7351284992018576,0.10623516637724771,0.7351284992018575,0.1062351663772477,0.5738353738353739,0.8992121040901528,43.833333333333336,6,0
channel_shared_posres_attention_v3_no_identity,123,0.8300000000000001,0.0960902353693305,0.8200874826752972,0.11490347051754982,0.8200874826752972,0.11490347051754986,0.5837188099625015,0.929724828017511,34.166666666666664,6,0
channel_shared_posres_attention_v3_no_identity,2025,0.7683333333333334,0.08858454843945542,0.747157006138059,0.11771160352135628,0.747157006138059,0.11771160352135625,0.5188723471650301,0.8897495297495299,37.666666666666664,6,0
channel_shared_posres_attention_v3_no_residual,42,0.7116666666666666,0.17827101714960722,0.6807889542643037,0.21059271753693137,0.6807889542643037,0.21059271753693137,0.2323421127159445,0.8904923133494563,60.666666666666664,6,0
channel_shared_posres_attention_v3_no_residual,123,0.5366666666666666,0.13609637108395736,0.493795962004364,0.14975528735866908,0.4937959620043641,0.14975528735866908,0.3134317798093039,0.7874758933635848,88.0,6,0
channel_shared_posres_attention_v3_no_residual,2025,0.63,0.1624807680927192,0.6065747059077014,0.17404736903140455,0.6065747059077014,0.17404736903140464,0.3682384667176633,0.8138147566718995,76.16666666666667,6,0
channel_shared_posres_attention_v3_residual_only_mlp,42,0.8116666666666666,0.08649020496886081,0.805910668339315,0.09534653925955358,0.8059106683393148,0.09534653925955357,0.6298555435175153,0.9001575001575002,36.833333333333336,6,0
channel_shared_posres_attention_v3_residual_only_mlp,123,0.7916666666666666,0.12575328579758419,0.7793737703943132,0.1383187249258313,0.7793737703943132,0.1383187249258313,0.565572710841528,0.9001048895785738,33.5,6,0
channel_shared_posres_attention_v3_residual_only_mlp,2025,0.8300000000000001,0.09018499505645787,0.8255143952497165,0.09504408936120062,0.8255143952497165,0.09504408936120064,0.7064943707391589,0.9599498746867168,37.833333333333336,6,0
channel_shared_posres_meanpool_v3_no_attention,42,0.7916666666666666,0.10382945418115014,0.7839027104009181,0.11226759801092505,0.783902710400918,0.11226759801092508,0.6319253390102817,0.9083373186673043,38.5,6,0
channel_shared_posres_meanpool_v3_no_attention,123,0.7999999999999999,0.1451436070471816,0.7858678411030278,0.16076135474140119,0.7858678411030279,0.16076135474140119,0.48275236786611464,0.931158251557872,27.666666666666668,6,0
channel_shared_posres_meanpool_v3_no_attention,2025,0.8566666666666666,0.0531245915016974,0.854891640552138,0.057989471715660046,0.854891640552138,0.05798947171566006,0.7604225561672371,0.9406593406593406,32.0,6,0
