model_name,total_params,encoder_params,aggregation_params,head_params,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,macro_f1_ci_low,macro_f1_ci_high,mean_best_epoch,n_success_runs,n_failed_runs
channel_shared_posres_attention_v3_no_identity,13910,2064,7361,4485,0.7816666666666667,0.10018039284765813,0.7674576626717379,0.11912448549831615,0.7674576626717379,0.11912448549831617,0.7112379886681212,0.8195476683329632,38.55555555555556,18,0
channel_shared_posres_attention_v3_no_residual,5942,2064,1441,2437,0.6261111111111112,0.17515513406022193,0.5937198740587896,0.1956182379603871,0.5937198740587896,0.1956182379603871,0.49984587159414406,0.6842315043326749,74.94444444444444,18,0
channel_shared_posres_attention_v3_residual_only_mlp,9189,0,0,2437,0.8111111111111112,0.1035422022864155,0.8035996113277815,0.11303229810423013,0.8035996113277815,0.11303229810423013,0.7488314223017043,0.8530115984885613,36.05555555555556,18,0
channel_shared_posres_meanpool_v3_no_attention,14197,2064,7648,4485,0.8161111111111112,0.11131231782136886,0.8082207306853612,0.12258357310058857,0.8082207306853612,0.12258357310058858,0.7470583328306452,0.8602587330084919,32.72222222222222,18,0
