model_name,metric,mean,ci_low,ci_high,n
channel_shared_posres_attention_v3_no_identity,accuracy,0.7816666666666667,0.7344444444444445,0.8261111111111112,18
channel_shared_posres_attention_v3_no_identity,macro_f1,0.7674576626717379,0.7112379886681212,0.8195476683329632,18
channel_shared_posres_attention_v3_no_identity,weighted_f1,0.7674576626717379,0.711237988668121,0.8195476683329632,18
channel_shared_posres_attention_v3_no_residual,accuracy,0.6261111111111112,0.5422222222222223,0.7061111111111111,18
channel_shared_posres_attention_v3_no_residual,macro_f1,0.5937198740587896,0.49984587159414406,0.6842315043326749,18
channel_shared_posres_attention_v3_no_residual,weighted_f1,0.5937198740587896,0.49984587159414406,0.6842315043326749,18
channel_shared_posres_attention_v3_residual_only_mlp,accuracy,0.8111111111111112,0.7611111111111111,0.8566666666666667,18
channel_shared_posres_attention_v3_residual_only_mlp,macro_f1,0.8035996113277815,0.7488314223017043,0.8530115984885613,18
channel_shared_posres_attention_v3_residual_only_mlp,weighted_f1,0.8035996113277815,0.7488314223017043,0.8530115984885613,18
channel_shared_posres_meanpool_v3_no_attention,accuracy,0.8161111111111112,0.7605555555555557,0.8633333333333334,18
channel_shared_posres_meanpool_v3_no_attention,macro_f1,0.8082207306853612,0.7470583328306452,0.8602587330084919,18
channel_shared_posres_meanpool_v3_no_attention,weighted_f1,0.8082207306853612,0.7470583328306452,0.8602587330084919,18
