model_name,class_id,class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,total_support
channel_shared_posres_attention_v3_no_identity,0,Correct,0.6423950009259229,0.34460620156926985,0.6833333333333332,0.35668224265054493,0.6212014915351922,0.2994992148737048,360
channel_shared_posres_attention_v3_no_identity,1,Knee Valgus,0.8388365798517138,0.21694457459340144,0.9194444444444445,0.09300371690435115,0.8507392383221102,0.13640692068036855,360
channel_shared_posres_attention_v3_no_identity,2,Butt Wink,0.9052560974320296,0.11286292322699878,0.7305555555555556,0.2021680330325418,0.7829927602505484,0.16054018053861974,360
channel_shared_posres_attention_v3_no_identity,3,Excessive Lean,0.8189216857031668,0.17016428355233437,0.7277777777777777,0.2534332161768232,0.7265750000017346,0.17587529552365225,360
channel_shared_posres_attention_v3_no_identity,4,Partial Squat,0.9469710330821441,0.09210546967770092,0.8472222222222222,0.26846902481282753,0.855779823249104,0.21789196216256593,360
channel_shared_posres_attention_v3_no_residual,0,Correct,0.5593978414310895,0.3396449103785773,0.46111111111111114,0.3212629398844658,0.45179143039066244,0.2807982083303139,360
channel_shared_posres_attention_v3_no_residual,1,Knee Valgus,0.7199157640696802,0.33203709507908913,0.7722222222222223,0.3123487288193466,0.6837144321156882,0.30046374441425727,360
channel_shared_posres_attention_v3_no_residual,2,Butt Wink,0.7460392731366248,0.24940112021308058,0.6472222222222221,0.3255218981464066,0.6282094158635126,0.2599697066620868,360
channel_shared_posres_attention_v3_no_residual,3,Excessive Lean,0.6232801605748025,0.27304942546797806,0.5638888888888889,0.32566408884835935,0.5320757203953662,0.2574292655074764,360
channel_shared_posres_attention_v3_no_residual,4,Partial Squat,0.7683179652004063,0.30657328445302384,0.6861111111111111,0.3850705402749661,0.672808371528719,0.3450619880443486,360
channel_shared_posres_attention_v3_residual_only_mlp,0,Correct,0.7607325785641271,0.21542442478406285,0.7999999999999999,0.23392781412697003,0.7443973937242006,0.22142333560837826,360
channel_shared_posres_attention_v3_residual_only_mlp,1,Knee Valgus,0.8832602354769841,0.16155074636984915,0.9194444444444445,0.13958160584890125,0.8813175483042618,0.11830748406203899,360
channel_shared_posres_attention_v3_residual_only_mlp,2,Butt Wink,0.8542638261612275,0.1568479665759387,0.6888888888888888,0.23306863292670035,0.7140901283951675,0.13832144503663063,360
channel_shared_posres_attention_v3_residual_only_mlp,3,Excessive Lean,0.8478150336789902,0.11507856759978154,0.6972222222222223,0.2864884243454709,0.7240953414239711,0.222017298102438,360
channel_shared_posres_attention_v3_residual_only_mlp,4,Partial Squat,0.9648009398009398,0.06413107097086435,0.9499999999999998,0.06666666666666667,0.9540976447913062,0.040807132266679993,360
channel_shared_posres_meanpool_v3_no_attention,0,Correct,0.7127107151656176,0.31370224231913185,0.7694444444444444,0.31231167164695206,0.7093272984991226,0.2746670418859841,360
channel_shared_posres_meanpool_v3_no_attention,1,Knee Valgus,0.8354192472641109,0.2154090049492385,0.936111111111111,0.11156158682235114,0.8554243540412627,0.14607119246919822,360
channel_shared_posres_meanpool_v3_no_attention,2,Butt Wink,0.8982050659988471,0.10791689555869693,0.7555555555555556,0.19212907184211758,0.795208481442655,0.13763846601789084,360
channel_shared_posres_meanpool_v3_no_attention,3,Excessive Lean,0.8754745924153818,0.14151156386019753,0.6805555555555556,0.274943877550436,0.7195828366592925,0.2139808015145521,360
channel_shared_posres_meanpool_v3_no_attention,4,Partial Squat,0.9896584896584897,0.02457931283690892,0.9388888888888888,0.07370277311900887,0.9615606827844739,0.038822218599350644,360
