scope,model_name,seed,fold_id,test_subject,true_class,pred_class,count
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,0,1,1
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,0,2,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,0,3,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,0,4,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,1,0,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,1,1,20
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,1,2,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,1,3,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,1,4,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,2,0,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,2,1,3
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,2,2,17
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,2,3,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,2,4,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,3,0,1
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,3,1,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,3,2,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,3,3,19
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,3,4,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,4,0,3
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,4,1,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,4,2,0
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,4,3,2
fold,channel_shared_posres_meanpool_v3_no_attention,42,1,1,4,4,15
fold,channel_shared_posres_attention_v3_no_residual,42,2,2,0,0,16
fold,channel_shared_posres_attention_v3_no_residual,42,2,2,0,1,3
fold,channel_shared_posres_attention_v3_no_residual,42,2,2,0,2,0
fold,channel_shared_posres_attention_v3_no_residual,42,2,2,0,3,1
