scope,model_name,seed,fold_id,test_subject,true_class,pred_class,count
fold,controlled_all_channel_1d_cnn_small,42,1,1,4,0,0
fold,controlled_all_channel_1d_cnn_small,42,1,1,4,1,1
fold,controlled_all_channel_1d_cnn_small,42,1,1,4,2,0
fold,controlled_all_channel_1d_cnn_small,42,1,1,4,3,0
fold,controlled_all_channel_1d_cnn_small,42,1,1,4,4,19
fold,controlled_shared_1d,42,1,1,0,0,0
fold,controlled_shared_1d,42,1,1,0,1,0
fold,controlled_shared_1d,42,1,1,0,2,20
fold,controlled_shared_1d,42,1,1,0,3,0
fold,controlled_shared_1d,42,1,1,0,4,0
fold,controlled_shared_1d,42,1,1,1,0,0
fold,controlled_shared_1d,42,1,1,1,1,0
fold,controlled_shared_1d,42,1,1,1,2,20
fold,controlled_shared_1d,42,1,1,1,3,0
fold,controlled_shared_1d,42,1,1,1,4,0
fold,controlled_shared_1d,42,1,1,2,0,0
fold,controlled_shared_1d,42,1,1,2,1,0
fold,controlled_shared_1d,42,1,1,2,2,20
fold,controlled_shared_1d,42,1,1,2,3,0
fold,controlled_shared_1d,42,1,1,2,4,0
fold,controlled_shared_1d,42,1,1,3,0,0
fold,controlled_shared_1d,42,1,1,3,1,14
fold,controlled_shared_1d,42,1,1,3,2,6
fold,controlled_shared_1d,42,1,1,3,3,0
fold,controlled_shared_1d,42,1,1,3,4,0
fold,controlled_shared_1d,42,1,1,4,0,4
fold,controlled_shared_1d,42,1,1,4,1,7
fold,controlled_shared_1d,42,1,1,4,2,4
fold,controlled_shared_1d,42,1,1,4,3,5
fold,controlled_shared_1d,42,1,1,4,4,0
fold,controlled_shared_1d_identity,42,1,1,0,0,9
fold,controlled_shared_1d_identity,42,1,1,0,1,0
fold,controlled_shared_1d_identity,42,1,1,0,2,1
fold,controlled_shared_1d_identity,42,1,1,0,3,10
fold,controlled_shared_1d_identity,42,1,1,0,4,0
fold,controlled_shared_1d_identity,42,1,1,1,0,0
fold,controlled_shared_1d_identity,42,1,1,1,1,17
fold,controlled_shared_1d_identity,42,1,1,1,2,3
fold,controlled_shared_1d_identity,42,1,1,1,3,0
fold,controlled_shared_1d_identity,42,1,1,1,4,0
fold,controlled_shared_1d_identity,42,1,1,2,0,0
fold,controlled_shared_1d_identity,42,1,1,2,1,0
fold,controlled_shared_1d_identity,42,1,1,2,2,20
fold,controlled_shared_1d_identity,42,1,1,2,3,0
fold,controlled_shared_1d_identity,42,1,1,2,4,0
fold,controlled_shared_1d_identity,42,1,1,3,0,0
fold,controlled_shared_1d_identity,42,1,1,3,1,6
fold,controlled_shared_1d_identity,42,1,1,3,2,0
fold,controlled_shared_1d_identity,42,1,1,3,3,14
fold,controlled_shared_1d_identity,42,1,1,3,4,0
fold,controlled_shared_1d_identity,42,1,1,4,0,6
fold,controlled_shared_1d_identity,42,1,1,4,1,0
fold,controlled_shared_1d_identity,42,1,1,4,2,0
fold,controlled_shared_1d_identity,42,1,1,4,3,4
fold,controlled_shared_1d_identity,42,1,1,4,4,10
fold,controlled_shared_1d_residual,42,1,1,0,0,14
fold,controlled_shared_1d_residual,42,1,1,0,1,4
fold,controlled_shared_1d_residual,42,1,1,0,2,0
fold,controlled_shared_1d_residual,42,1,1,0,3,0
fold,controlled_shared_1d_residual,42,1,1,0,4,2
fold,controlled_shared_1d_residual,42,1,1,1,0,0
fold,controlled_shared_1d_residual,42,1,1,1,1,20
fold,controlled_shared_1d_residual,42,1,1,1,2,0
fold,controlled_shared_1d_residual,42,1,1,1,3,0
fold,controlled_shared_1d_residual,42,1,1,1,4,0
fold,controlled_shared_1d_residual,42,1,1,2,0,0
fold,controlled_shared_1d_residual,42,1,1,2,1,7
fold,controlled_shared_1d_residual,42,1,1,2,2,13
fold,controlled_shared_1d_residual,42,1,1,2,3,0
fold,controlled_shared_1d_residual,42,1,1,2,4,0
fold,controlled_shared_1d_residual,42,1,1,3,0,0
fold,controlled_shared_1d_residual,42,1,1,3,1,0
fold,controlled_shared_1d_residual,42,1,1,3,2,0
fold,controlled_shared_1d_residual,42,1,1,3,3,18
fold,controlled_shared_1d_residual,42,1,1,3,4,2
fold,controlled_shared_1d_residual,42,1,1,4,0,0
fold,controlled_shared_1d_residual,42,1,1,4,1,0
fold,controlled_shared_1d_residual,42,1,1,4,2,0
fold,controlled_shared_1d_residual,42,1,1,4,3,1
fold,controlled_shared_1d_residual,42,1,1,4,4,19
fold,controlled_shared_1d_residual_identity,42,1,1,0,0,18
fold,controlled_shared_1d_residual_identity,42,1,1,0,1,2
fold,controlled_shared_1d_residual_identity,42,1,1,0,2,0
fold,controlled_shared_1d_residual_identity,42,1,1,0,3,0
fold,controlled_shared_1d_residual_identity,42,1,1,0,4,0
fold,controlled_shared_1d_residual_identity,42,1,1,1,0,0
fold,controlled_shared_1d_residual_identity,42,1,1,1,1,20
fold,controlled_shared_1d_residual_identity,42,1,1,1,2,0
fold,controlled_shared_1d_residual_identity,42,1,1,1,3,0
fold,controlled_shared_1d_residual_identity,42,1,1,1,4,0
fold,controlled_shared_1d_residual_identity,42,1,1,2,0,0
fold,controlled_shared_1d_residual_identity,42,1,1,2,1,5
fold,controlled_shared_1d_residual_identity,42,1,1,2,2,15
fold,controlled_shared_1d_residual_identity,42,1,1,2,3,0
fold,controlled_shared_1d_residual_identity,42,1,1,2,4,0
fold,controlled_shared_1d_residual_identity,42,1,1,3,0,1
fold,controlled_shared_1d_residual_identity,42,1,1,3,1,0
fold,controlled_shared_1d_residual_identity,42,1,1,3,2,0
fold,controlled_shared_1d_residual_identity,42,1,1,3,3,19
fold,controlled_shared_1d_residual_identity,42,1,1,3,4,0
fold,controlled_shared_1d_residual_identity,42,1,1,4,0,0
