model_name,metric,mean,ci_low,ci_high,n
controlled_2d_cnn,accuracy,0.5055555555555555,0.4255555555555555,0.5866666666666666,18
controlled_2d_cnn,macro_f1,0.4451748097281286,0.3471934402766406,0.5412715967098864,18
controlled_2d_cnn,weighted_f1,0.4451748097281286,0.3471934402766406,0.5412715967098863,18
controlled_all_channel_1d_cnn,accuracy,0.8250000000000002,0.7766527777777777,0.8716666666666666,18
controlled_all_channel_1d_cnn,macro_f1,0.7993945208514475,0.7404094533714112,0.8563844185203016,18
controlled_all_channel_1d_cnn,weighted_f1,0.7993945208514475,0.7404094533714112,0.8563844185203016,18
controlled_all_channel_1d_cnn_small,accuracy,0.7805555555555557,0.7116666666666667,0.8394444444444444,18
controlled_all_channel_1d_cnn_small,macro_f1,0.7561545162134669,0.6785924371587754,0.824194502452898,18
controlled_all_channel_1d_cnn_small,weighted_f1,0.7561545162134669,0.6785924371587753,0.824194502452898,18
controlled_flatten_mlp,accuracy,0.7344444444444443,0.6455555555555555,0.8194444444444444,18
controlled_flatten_mlp,macro_f1,0.7045902580171839,0.5953125642450013,0.8074428108834005,18
controlled_flatten_mlp,weighted_f1,0.7045902580171839,0.5953125642450012,0.8074428108834005,18
controlled_shared_1d,accuracy,0.3499999999999999,0.2994444444444444,0.40222222222222226,18
controlled_shared_1d,macro_f1,0.28058877693616635,0.22333599769000584,0.3385262015234976,18
controlled_shared_1d,weighted_f1,0.28058877693616635,0.22333599769000584,0.3385262015234976,18
controlled_shared_1d_identity,accuracy,0.5616666666666666,0.48443055555555553,0.6333333333333333,18
controlled_shared_1d_identity,macro_f1,0.5182055376311773,0.4334544907857308,0.5968354523302466,18
controlled_shared_1d_identity,weighted_f1,0.5182055376311773,0.4334544907857308,0.5968354523302466,18
controlled_shared_1d_residual,accuracy,0.8094444444444444,0.7561111111111112,0.8588888888888888,18
controlled_shared_1d_residual,macro_f1,0.8004316129351925,0.7422700792887282,0.8540042764680168,18
controlled_shared_1d_residual,weighted_f1,0.8004316129351925,0.7422700792887282,0.8540042764680168,18
controlled_shared_1d_residual_identity,accuracy,0.8072222222222222,0.7561111111111111,0.8544444444444443,18
controlled_shared_1d_residual_identity,macro_f1,0.7973192046953161,0.7397056107022093,0.8493053303049378,18
controlled_shared_1d_residual_identity,weighted_f1,0.7973192046953163,0.7397056107022093,0.8493053303049378,18
controlled_stats_mlp,accuracy,0.825,0.7850000000000001,0.8627777777777779,18
controlled_stats_mlp,macro_f1,0.817383971028595,0.7743768338536736,0.8583650993157151,18
controlled_stats_mlp,weighted_f1,0.817383971028595,0.7743768338536736,0.8583650993157151,18
feature_linear_svm_v1,accuracy,0.746111111111111,0.6927777777777777,0.8005555555555556,18
feature_linear_svm_v1,macro_f1,0.721326918228006,0.6612486782916431,0.7828279485470191,18
feature_linear_svm_v1,weighted_f1,0.721326918228006,0.6612486782916431,0.7828279485470192,18
feature_random_forest_v1,accuracy,0.8055555555555555,0.7611111111111111,0.8505555555555555,18
feature_random_forest_v1,macro_f1,0.7845249924781911,0.7317878001513041,0.8376471239011969,18
feature_random_forest_v1,weighted_f1,0.7845249924781912,0.7317878001513041,0.8376471239011969,18
lee_style_cnn_lstm_2d_v1,accuracy,0.6622222222222222,0.5783333333333334,0.7355555555555556,18
lee_style_cnn_lstm_2d_v1,macro_f1,0.6268939297423978,0.523712503243493,0.7165242396496089,18
lee_style_cnn_lstm_2d_v1,weighted_f1,0.6268939297423979,0.523712503243493,0.7165242396496089,18
rescnn_bigru_attention_lite_v1,accuracy,0.7944444444444444,0.7472222222222223,0.84,18
rescnn_bigru_attention_lite_v1,macro_f1,0.7691308145395062,0.7076484203493665,0.8269764709391504,18
rescnn_bigru_attention_lite_v1,weighted_f1,0.7691308145395062,0.7076484203493665,0.8269764709391504,18
