model_name,seed,fold_id,epoch,train_loss,val_loss,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,is_best
feature_random_forest_v1,42,1,0,,,1.0,1.0,0.96,0.9602376485303313,True
feature_linear_svm_v1,42,1,0,,,1.0,1.0,0.94,0.9401195295932139,True
rescnn_bigru_attention_lite_v1,42,1,1,1.5007496738433839,1.3578381368092127,0.44,0.398961424145918,0.72,0.7009070016920524,True
rescnn_bigru_attention_lite_v1,42,1,2,1.0080203938484191,0.6544388447489057,0.7975,0.7903903826806431,0.94,0.9404210965186575,True
rescnn_bigru_attention_lite_v1,42,1,3,0.5230824553966522,0.44468554854393005,0.8875,0.8862675871876962,0.87,0.8720512501634252,False
rescnn_bigru_attention_lite_v1,42,1,4,0.4077273952960968,0.2607486130935805,0.87,0.8708193388922079,0.9,0.8984767815237269,False
rescnn_bigru_attention_lite_v1,42,1,5,0.26485460460186006,0.38518344930240084,0.9125,0.9121948222972168,0.87,0.8772464772464772,False
rescnn_bigru_attention_lite_v1,42,1,6,0.22928013473749162,0.27497153050665346,0.9275,0.9274640226784573,0.88,0.8798894129126686,False
rescnn_bigru_attention_lite_v1,42,1,7,0.1715444605052471,0.19442160627139465,0.96,0.9600369547857615,0.92,0.9211780007432182,False
rescnn_bigru_attention_lite_v1,42,1,8,0.14909709729254245,0.146562413711633,0.9575,0.9572508423659318,0.92,0.9212415981629578,False
rescnn_bigru_attention_lite_v1,42,1,9,0.20749783605337144,0.1952055954773511,0.94,0.9400885336002027,0.93,0.9320776858534296,False
rescnn_bigru_attention_lite_v1,42,1,10,0.13236350938677788,0.11957830656319857,0.96,0.9600577202575107,0.95,0.9504815509693557,True
rescnn_bigru_attention_lite_v1,42,1,11,0.08961343631148339,0.09817989556384939,0.9725,0.9725764604135545,0.97,0.9699937460913072,True
rescnn_bigru_attention_lite_v1,42,1,12,0.06719742245972156,0.08101995648550135,0.98,0.979951647142071,0.95,0.9495895154789981,False
rescnn_bigru_attention_lite_v1,42,1,13,0.08641231324523688,0.18693383430529917,0.9675,0.9674645416129583,0.92,0.9176895993685557,False
rescnn_bigru_attention_lite_v1,42,1,14,0.08464077716693282,0.08723119112463402,0.9725,0.9724584089334691,0.96,0.9602197802197802,False
rescnn_bigru_attention_lite_v1,42,1,15,0.058534409739077094,0.12523187723542964,0.975,0.9749677721786008,0.95,0.9505633493393593,False
rescnn_bigru_attention_lite_v1,42,1,16,0.14052968053147197,0.30466078760634574,0.95,0.9497562257104859,0.95,0.9502053915275995,False
rescnn_bigru_attention_lite_v1,42,1,17,0.164931957796216,0.09106439197369452,0.9525,0.9528551666581307,0.96,0.9597069597069596,False
rescnn_bigru_attention_lite_v1,42,1,18,0.07874109499156474,0.050795157573052814,0.975,0.9749129682445232,0.97,0.9699812382739212,False
rescnn_bigru_attention_lite_v1,42,1,19,0.06769682554528117,0.08385471467460905,0.975,0.9750462908707371,0.98,0.9799498746867169,True
rescnn_bigru_attention_lite_v1,42,1,20,0.07155529407784343,0.06611265737696417,0.9725,0.9724999999999999,0.96,0.9595959595959596,False
rescnn_bigru_attention_lite_v1,42,1,21,0.0489394617639482,0.10005899566957462,0.985,0.9849997070198055,0.94,0.9405720405720406,False
rescnn_bigru_attention_lite_v1,42,1,22,0.05420577947050333,0.06941607248570238,0.9825,0.9824839837493652,0.95,0.9504273504273504,False
rescnn_bigru_attention_lite_v1,42,1,23,0.07015632016584278,0.08747203056035298,0.97,0.970014649009727,0.94,0.9392777953753564,False
rescnn_bigru_attention_lite_v1,42,1,24,0.062124264761805534,0.02539004190891449,0.975,0.9749825296995109,1.0,1.0,True
rescnn_bigru_attention_lite_v1,42,1,25,0.024598108939826488,0.07191647048706987,0.995,0.9949999999999999,0.97,0.9702376485303315,False
rescnn_bigru_attention_lite_v1,42,1,26,0.01859674199484289,0.040603299791525514,0.9975,0.9974999023399352,0.98,0.9799937460913071,False
rescnn_bigru_attention_lite_v1,42,1,27,0.04669489769730717,0.13535589255791688,0.9875,0.9875,0.95,0.9510352457720878,False
rescnn_bigru_attention_lite_v1,42,1,28,0.06284789831377566,0.07199101349604982,0.975,0.97493652095785,0.98,0.9799498746867169,False
rescnn_bigru_attention_lite_v1,42,1,29,0.039318613922223446,0.04324502840505114,0.98,0.9800309582405562,0.99,0.9899937460913071,False
rescnn_bigru_attention_lite_v1,42,1,30,0.017777400175109506,0.048187903594225645,1.0,1.0,0.97,0.9703919907102282,False
rescnn_bigru_attention_lite_v1,42,1,31,0.06315898341592402,0.047302172993243276,0.98,0.9800463885308022,0.98,0.9802197802197803,False
rescnn_bigru_attention_lite_v1,42,1,32,0.022835310082882643,0.03119853453245014,0.995,0.9949999023399352,0.99,0.9899937460913071,False
rescnn_bigru_attention_lite_v1,42,1,33,0.020335277426056564,0.21499507508373686,0.9925,0.9924838823806903,0.94,0.9414344109996284,False
rescnn_bigru_attention_lite_v1,42,1,34,0.15746117840055376,0.10156158334575593,0.95,0.9498525705471621,0.93,0.9290548107337671,False
rescnn_bigru_attention_lite_v1,42,1,35,0.06526457296684385,0.1272764556259582,0.98,0.9800762869788027,0.95,0.9504675065650675,False
rescnn_bigru_attention_lite_v1,42,1,36,0.04715587828308344,0.06853972855190348,0.985,0.9850459941819325,0.99,0.9899937460913071,False
rescnn_bigru_attention_lite_v1,42,1,37,0.028746268851682542,0.10767420749678942,0.99,0.9899984372558212,0.98,0.9799937460913071,False
rescnn_bigru_attention_lite_v1,42,1,38,0.05688173182774335,0.07616851272593651,0.98,0.9799667916862009,0.97,0.9697310819262039,False
rescnn_bigru_attention_lite_v1,42,1,39,0.034118655612692235,0.08377326367190108,0.99,0.9900137879296274,0.97,0.9697373358348969,False
rescnn_bigru_attention_lite_v1,42,1,40,0.02405246352776885,0.10871961287089757,0.99,0.9899677647613805,0.97,0.9693819254794864,False
rescnn_bigru_attention_lite_v1,42,1,41,0.0360936019802466,0.06996566665891026,0.9875,0.9874997070198054,0.98,0.9799937460913071,False
rescnn_bigru_attention_lite_v1,42,1,42,0.06075845168437809,0.08430671156384051,0.985,0.9849997070198055,0.97,0.9697373358348969,False
rescnn_bigru_attention_lite_v1,42,1,43,0.018112190370447933,0.1202353285625577,0.995,0.9949998046798705,0.97,0.9697310819262039,False
rescnn_bigru_attention_lite_v1,42,1,44,0.03155268552480266,0.0767165870305949,0.9875,0.9875145585837408,0.98,0.9797175866495508,False
rescnn_bigru_attention_lite_v1,42,1,45,0.036880261125043036,0.28903315387599704,0.99,0.9899984372558212,0.9,0.8983270794246405,False
rescnn_bigru_attention_lite_v1,42,1,46,0.011345444973558187,0.08819207099233088,0.995,0.9949992186279106,0.96,0.9594173049885502,False
rescnn_bigru_attention_lite_v1,42,1,47,0.053106548469513654,0.10453268706000277,0.985,0.9849839837493652,0.95,0.9498697303575352,False
rescnn_bigru_attention_lite_v1,42,1,48,0.050795159270055595,0.13699290683559542,0.9875,0.9875151373100512,0.96,0.9598581159556769,False
rescnn_bigru_attention_lite_v1,42,1,49,0.03682125080842525,0.06956514167333287,0.9875,0.9875309582405564,0.98,0.9799937460913071,False
tcn_literature_v1,42,1,1,1.192364854812622,1.1079126596450806,0.615,0.6182400779505353,0.62,0.5771218995224997,True
tcn_literature_v1,42,1,2,0.6771657717227936,0.4650642616408212,0.895,0.8935921547253187,0.91,0.9096790757381259,True
tcn_literature_v1,42,1,3,0.44244860410690307,0.3755391889384815,0.93,0.9297248366375495,0.89,0.8899559317596755,False
tcn_literature_v1,42,1,4,0.34776254653930666,0.2452825094972338,0.94,0.9399306476148019,0.96,0.9599498746867168,True
tcn_literature_v1,42,1,5,0.24864150553941727,0.19962313984121596,0.965,0.9647884484755487,0.96,0.9604395604395604,True
tcn_literature_v1,42,1,6,0.22291795134544373,0.26036560216120314,0.96,0.9599665854233823,0.9,0.9026040903641883,False
tcn_literature_v1,42,1,7,0.19352441996335984,0.26816956805331366,0.9725,0.9723864703704432,0.91,0.9120780675091986,False
tcn_literature_v1,42,1,8,0.1581992444396019,0.1417061005319868,0.9625,0.9625459002304778,0.96,0.960135580453818,False
