model_name,seed,fold_id,test_subject,feature_index,feature_name,channel_name,statistic,importance
feature_random_forest_v1,42,1,1,70,s2_gy_max,s2_gy,max,0.013224903929767608
feature_random_forest_v1,42,1,1,71,s2_gz_max,s2_gz,max,0.0036801296761071584
feature_random_forest_v1,42,1,1,72,s0_ax_median,s0_ax,median,0.026945675088439095
feature_random_forest_v1,42,1,1,73,s0_ay_median,s0_ay,median,0.0033421473997045092
feature_random_forest_v1,42,1,1,74,s0_az_median,s0_az,median,0.007504839520432805
feature_random_forest_v1,42,1,1,75,s0_gx_median,s0_gx,median,0.0011742716827058217
feature_random_forest_v1,42,1,1,76,s0_gy_median,s0_gy,median,0.0011692176814827675
feature_random_forest_v1,42,1,1,77,s0_gz_median,s0_gz,median,0.0014336921907742034
feature_random_forest_v1,42,1,1,78,s1_ax_median,s1_ax,median,0.012611956587895401
feature_random_forest_v1,42,1,1,79,s1_ay_median,s1_ay,median,0.008251519376693408
feature_random_forest_v1,42,1,1,80,s1_az_median,s1_az,median,0.00343191688547957
feature_random_forest_v1,42,1,1,81,s1_gx_median,s1_gx,median,0.01657120472714647
feature_random_forest_v1,42,1,1,82,s1_gy_median,s1_gy,median,0.001533384156811966
feature_random_forest_v1,42,1,1,83,s1_gz_median,s1_gz,median,0.0025009859709801425
feature_random_forest_v1,42,1,1,84,s2_ax_median,s2_ax,median,0.0033415863940797147
feature_random_forest_v1,42,1,1,85,s2_ay_median,s2_ay,median,0.004493841106268507
feature_random_forest_v1,42,1,1,86,s2_az_median,s2_az,median,0.006270051914229724
feature_random_forest_v1,42,1,1,87,s2_gx_median,s2_gx,median,0.0012323443711007346
feature_random_forest_v1,42,1,1,88,s2_gy_median,s2_gy,median,0.001159295549811065
feature_random_forest_v1,42,1,1,89,s2_gz_median,s2_gz,median,0.0010013007504735916
feature_random_forest_v1,42,1,1,90,s0_ax_energy,s0_ax,energy,0.0031845083367410404
feature_random_forest_v1,42,1,1,91,s0_ay_energy,s0_ay,energy,0.0011204539838293446
feature_random_forest_v1,42,1,1,92,s0_az_energy,s0_az,energy,0.026573164954558595
feature_random_forest_v1,42,1,1,93,s0_gx_energy,s0_gx,energy,0.001200354538607904
feature_random_forest_v1,42,1,1,94,s0_gy_energy,s0_gy,energy,0.0052092922414276295
feature_random_forest_v1,42,1,1,95,s0_gz_energy,s0_gz,energy,0.0020742945426241092
feature_random_forest_v1,42,1,1,96,s1_ax_energy,s1_ax,energy,0.057629734592332636
feature_random_forest_v1,42,1,1,97,s1_ay_energy,s1_ay,energy,0.0037796864952879677
feature_random_forest_v1,42,1,1,98,s1_az_energy,s1_az,energy,0.003014382371702629
feature_random_forest_v1,42,1,1,99,s1_gx_energy,s1_gx,energy,0.001180347031544364
feature_random_forest_v1,42,1,1,100,s1_gy_energy,s1_gy,energy,0.0035843476274670443
feature_random_forest_v1,42,1,1,101,s1_gz_energy,s1_gz,energy,0.004645957410548537
feature_random_forest_v1,42,1,1,102,s2_ax_energy,s2_ax,energy,0.004299702090679125
feature_random_forest_v1,42,1,1,103,s2_ay_energy,s2_ay,energy,0.0019924374125811764
feature_random_forest_v1,42,1,1,104,s2_az_energy,s2_az,energy,0.011258469459977114
feature_random_forest_v1,42,1,1,105,s2_gx_energy,s2_gx,energy,0.0031844213402744785
feature_random_forest_v1,42,1,1,106,s2_gy_energy,s2_gy,energy,0.013129179092735681
feature_random_forest_v1,42,1,1,107,s2_gz_energy,s2_gz,energy,0.0034585242369139617
feature_random_forest_v1,42,1,1,108,s0_ax_rms,s0_ax,rms,0.00301408667681618
feature_random_forest_v1,42,1,1,109,s0_ay_rms,s0_ay,rms,0.0018661771611554118
feature_random_forest_v1,42,1,1,110,s0_az_rms,s0_az,rms,0.02478176813606619
feature_random_forest_v1,42,1,1,111,s0_gx_rms,s0_gx,rms,0.000617637383387665
feature_random_forest_v1,42,1,1,112,s0_gy_rms,s0_gy,rms,0.005386175400613531
feature_random_forest_v1,42,1,1,113,s0_gz_rms,s0_gz,rms,0.0010038063741361373
feature_random_forest_v1,42,1,1,114,s1_ax_rms,s1_ax,rms,0.049127786550694316
feature_random_forest_v1,42,1,1,115,s1_ay_rms,s1_ay,rms,0.003111885259315774
feature_random_forest_v1,42,1,1,116,s1_az_rms,s1_az,rms,0.005500482707952733
feature_random_forest_v1,42,1,1,117,s1_gx_rms,s1_gx,rms,0.001916341517698749
feature_random_forest_v1,42,1,1,118,s1_gy_rms,s1_gy,rms,0.0045218375433988675
feature_random_forest_v1,42,1,1,119,s1_gz_rms,s1_gz,rms,0.0029288720442567136
feature_random_forest_v1,42,1,1,120,s2_ax_rms,s2_ax,rms,0.0029478584077092447
feature_random_forest_v1,42,1,1,121,s2_ay_rms,s2_ay,rms,0.0017326334407062971
feature_random_forest_v1,42,1,1,122,s2_az_rms,s2_az,rms,0.011804781674886548
feature_random_forest_v1,42,1,1,123,s2_gx_rms,s2_gx,rms,0.002397763724153137
feature_random_forest_v1,42,1,1,124,s2_gy_rms,s2_gy,rms,0.009563876786935294
feature_random_forest_v1,42,1,1,125,s2_gz_rms,s2_gz,rms,0.0025920893268683632
feature_random_forest_v1,42,1,1,126,s0_ax_ptp,s0_ax,ptp,0.0023137777283658988
feature_random_forest_v1,42,1,1,127,s0_ay_ptp,s0_ay,ptp,0.0009793729692090928
feature_random_forest_v1,42,1,1,128,s0_az_ptp,s0_az,ptp,0.011230369419180507
feature_random_forest_v1,42,1,1,129,s0_gx_ptp,s0_gx,ptp,0.0015563919253982514
feature_random_forest_v1,42,1,1,130,s0_gy_ptp,s0_gy,ptp,0.004382033840168368
feature_random_forest_v1,42,1,1,131,s0_gz_ptp,s0_gz,ptp,0.0017330350507004664
feature_random_forest_v1,42,1,1,132,s1_ax_ptp,s1_ax,ptp,0.025742953957154008
feature_random_forest_v1,42,1,1,133,s1_ay_ptp,s1_ay,ptp,0.0019007496488861496
feature_random_forest_v1,42,1,1,134,s1_az_ptp,s1_az,ptp,0.0016839485991063164
feature_random_forest_v1,42,1,1,135,s1_gx_ptp,s1_gx,ptp,0.0015966833431127116
feature_random_forest_v1,42,1,1,136,s1_gy_ptp,s1_gy,ptp,0.005211304217587737
feature_random_forest_v1,42,1,1,137,s1_gz_ptp,s1_gz,ptp,0.0027323587723311455
feature_random_forest_v1,42,1,1,138,s2_ax_ptp,s2_ax,ptp,0.0019941862466982757
feature_random_forest_v1,42,1,1,139,s2_ay_ptp,s2_ay,ptp,0.002099757244470339
feature_random_forest_v1,42,1,1,140,s2_az_ptp,s2_az,ptp,0.004007279281693498
feature_random_forest_v1,42,1,1,141,s2_gx_ptp,s2_gx,ptp,0.0017047932985707968
feature_random_forest_v1,42,1,1,142,s2_gy_ptp,s2_gy,ptp,0.008041166654727282
