subject_id,channel_index,channel_name,sensor_name,modality_name,axis_name,mean_attention_weight,std_attention_weight,min_attention_weight,max_attention_weight,n
1,1,s0_ay,s0_lower_back,acc,y,0.2901345772134179,0.3576734999656414,0.00024525035405531526,0.817148745059967,300
1,6,s1_ax,s1_right_thigh,acc,x,0.17550623770977836,0.28727692979945446,0.0009670106810517609,0.922479510307312,300
1,7,s1_ay,s1_right_thigh,acc,y,0.12408313309929023,0.27825958582843086,0.0017184572061523795,0.9850991368293762,300
1,14,s2_az,s2_right_calf,acc,z,0.12306233521871036,0.1803257457361908,0.00017377044423483312,0.5443668961524963,300
1,12,s2_ax,s2_right_calf,acc,x,0.081673763403669,0.13800760783306737,0.0005823200335726142,0.6927670240402222,300
1,0,s0_ax,s0_lower_back,acc,x,0.06723850520075454,0.07517845187744139,0.0008245761855505407,0.2004839926958084,300
1,13,s2_ay,s2_right_calf,acc,y,0.05086306031967979,0.07234840317401792,0.0002025029098149389,0.22401046752929688,300
1,8,s1_az,s1_right_thigh,acc,z,0.04642271999308529,0.09514383566817326,0.0006748430896550417,0.47451096773147583,300
1,2,s0_az,s0_lower_back,acc,z,0.009813775495179774,0.009414835876395791,0.00019504234660416842,0.03575241565704346,300
1,15,s2_gx,s2_right_calf,gyro,x,0.005163281612767605,0.00690710358717433,0.00017300121544394642,0.049202874302864075,300
1,17,s2_gz,s2_right_calf,gyro,z,0.0049263493321389734,0.00642315027333032,0.00017500629473943263,0.0199595857411623,300
1,9,s1_gx,s1_right_thigh,gyro,x,0.0036912406169964623,0.0034689878897210804,0.0005231999093666673,0.012985306791961193,300
1,3,s0_gx,s0_lower_back,gyro,x,0.0036403024137446967,0.0027836395608582696,0.0002471085754223168,0.009964502416551113,300
1,16,s2_gy,s2_right_calf,gyro,y,0.003191891315655084,0.003767168782186285,0.00017777409811969846,0.011470145545899868,300
1,5,s0_gz,s0_lower_back,gyro,z,0.0027999670067219997,0.0026339497407512134,0.00018490235379431397,0.009235262870788574,300
1,4,s0_gy,s0_lower_back,gyro,y,0.00262198302957889,0.0018773902617955924,0.00019200214592274278,0.007121111731976271,300
1,10,s1_gy,s1_right_thigh,gyro,y,0.0025958410884292485,0.002585863231674122,0.00025948233087547123,0.008552033454179764,300
1,11,s1_gz,s1_right_thigh,gyro,z,0.00257103491264085,0.0023971702256659682,0.0004145105485804379,0.008067061193287373,300
2,6,s1_ax,s1_right_thigh,acc,x,0.31871996324586993,0.3363111755095027,0.003713341662660241,0.9862193465232849,300
2,1,s0_ay,s0_lower_back,acc,y,0.25770196885277985,0.31538391136080945,0.0006395477685146034,0.7286067605018616,300
2,8,s1_az,s1_right_thigh,acc,z,0.10512972008543632,0.17267987457030737,0.00029586540767923,0.7390618324279785,300
2,14,s2_az,s2_right_calf,acc,z,0.10159633580585553,0.23559927279953738,0.0004514417378231883,0.9753940105438232,300
2,7,s1_ay,s1_right_thigh,acc,y,0.06523688567782908,0.1363924811850997,0.0002269116521347314,0.7085079550743103,300
2,13,s2_ay,s2_right_calf,acc,y,0.053268181610813675,0.06996167511782601,0.0005700773326680064,0.19784952700138092,300
2,0,s0_ax,s0_lower_back,acc,x,0.025282662260578945,0.015966153924078755,0.0015275392215698957,0.1010930985212326,300
2,12,s2_ax,s2_right_calf,acc,x,0.018138558655433977,0.028107215846522787,0.0017884080298244953,0.27177172899246216,300
2,2,s0_az,s0_lower_back,acc,z,0.011455483843650048,0.011168250997818046,0.0002699771721381694,0.056483905762434006,300
2,9,s1_gx,s1_right_thigh,gyro,x,0.009038366898845804,0.01369038130169037,0.00014219459262676537,0.06529669463634491,300
2,4,s0_gy,s0_lower_back,gyro,y,0.0066892304432743304,0.006568009189356836,9.083779150387272e-05,0.02090371400117874,300
2,10,s1_gy,s1_right_thigh,gyro,y,0.006581417476966938,0.008493000932311378,0.00010059909982373938,0.037404753267765045,300
2,3,s0_gx,s0_lower_back,gyro,x,0.004430478034410043,0.003757156788391175,9.885394683806226e-05,0.026886098086833954,300
2,5,s0_gz,s0_lower_back,gyro,z,0.0039808307609685775,0.003377971509132752,8.966141467681155e-05,0.017228098586201668,300
2,16,s2_gy,s2_right_calf,gyro,y,0.003793387610276113,0.0030013248747328925,9.350783511763439e-05,0.010204814374446869,300
2,11,s1_gz,s1_right_thigh,gyro,z,0.00344543094082231,0.00409013988487056,9.713682811707258e-05,0.021336965262889862,300
2,15,s2_gx,s2_right_calf,gyro,x,0.0031284987680555787,0.0022508747080565374,0.00013016753655392677,0.01129935123026371,300
2,17,s2_gz,s2_right_calf,gyro,z,0.002382600370401633,0.0019472512723350596,9.954075358109549e-05,0.010943138040602207,300
3,1,s0_ay,s0_lower_back,acc,y,0.3047097611706704,0.3414890839834273,0.0020115061197429895,0.9266875386238098,300
3,6,s1_ax,s1_right_thigh,acc,x,0.30142208659555764,0.3036293482318383,0.004343060776591301,0.9442086219787598,300
3,0,s0_ax,s0_lower_back,acc,x,0.11878008465205009,0.21979950887840286,0.0025461975019425154,0.9630281329154968,300
3,8,s1_az,s1_right_thigh,acc,z,0.0927817661568406,0.1325044438800599,0.00043573329458013177,0.6450971961021423,300
3,12,s2_ax,s2_right_calf,acc,x,0.08395878483968167,0.14613131181831954,0.0015600364422425628,0.7825547456741333,300
3,13,s2_ay,s2_right_calf,acc,y,0.027983628609993805,0.044042872372782746,0.0014187197666615248,0.41448697447776794,300
3,7,s1_ay,s1_right_thigh,acc,y,0.013655160887089247,0.013556639813022787,0.000347682653227821,0.10773109644651413,300
3,14,s2_az,s2_right_calf,acc,z,0.009511046238476411,0.012114158288977732,0.0011226572096347809,0.05575476586818695,300
3,9,s1_gx,s1_right_thigh,gyro,x,0.009210529284367415,0.011104353738886285,0.000211100879823789,0.060459841042757034,300
3,2,s0_az,s0_lower_back,acc,z,0.006972662524591821,0.0044124577286823235,0.0003100754984188825,0.03481800854206085,300
3,11,s1_gz,s1_right_thigh,gyro,z,0.006298694922346234,0.007067009719612219,0.00017727311933413148,0.04585438594222069,300
3,10,s1_gy,s1_right_thigh,gyro,y,0.004910056095735247,0.004605359602549922,0.00019130375585518777,0.02958083711564541,300
3,3,s0_gx,s0_lower_back,gyro,x,0.004237937223660992,0.0022105727511905772,0.00018377561355009675,0.011888300999999046,300
