channel_index,channel_name,sensor_id,sensor_name,modality_id,modality_name,axis_id,axis_name,mean_attention_weight,std_attention_weight,min_attention_weight,max_attention_weight,n
6,s1_ax,1,s1_right_thigh,0,acc,0,x,0.32268300898816155,0.34123901699398834,0.0009670106810517609,0.9862193465232849,1800
1,s0_ay,0,s0_lower_back,0,acc,1,y,0.2540414253520511,0.32541533562190417,0.00016339324065484107,0.9266875386238098,1800
0,s0_ax,0,s0_lower_back,0,acc,0,x,0.08628328825715774,0.1467110542595578,0.0005041822441853583,0.9630281329154968,1800
8,s1_az,1,s1_right_thigh,0,acc,2,z,0.0781479469264741,0.1260981268468102,0.0002063764404738322,0.7390618324279785,1800
12,s2_ax,2,s2_right_calf,0,acc,0,x,0.06732248701232796,0.139558300318541,0.00024320775992237031,0.9241822361946106,1800
13,s2_ay,2,s2_right_calf,0,acc,1,y,0.06455310377806503,0.10816909086878605,0.00017860857769846916,0.7598509788513184,1800
7,s1_ay,1,s1_right_thigh,0,acc,1,y,0.04224282316454871,0.1347131677924453,9.389462502440438e-05,0.9850991368293762,1800
14,s2_az,2,s2_right_calf,0,acc,2,z,0.042063570050571195,0.1312972261887954,0.00017377044423483312,0.9753940105438232,1800
2,s0_az,0,s0_lower_back,0,acc,2,z,0.010769867289535695,0.013458019364868413,4.5463333663064986e-05,0.12223033607006073,1800
9,s1_gx,1,s1_right_thigh,1,gyro,0,x,0.005859700005025338,0.008593733124547687,7.784987974446267e-05,0.06529669463634491,1800
10,s1_gy,1,s1_right_thigh,1,gyro,1,y,0.0041958012707295385,0.006816117861862087,7.510979048674926e-05,0.1956256926059723,1800
4,s0_gy,0,s0_lower_back,1,gyro,1,y,0.003685687685101584,0.004193161118090294,3.717055369634181e-05,0.02090371400117874,1800
3,s0_gx,0,s0_lower_back,1,gyro,0,x,0.0035477162118816826,0.004930695865125929,3.6589943192666396e-05,0.1716785430908203,1800
11,s1_gz,1,s1_right_thigh,1,gyro,2,z,0.003287204384323559,0.004282443645592486,3.8057438359828666e-05,0.04585438594222069,1800
15,s2_gx,2,s2_right_calf,1,gyro,0,x,0.003201881126195884,0.0038809348647373047,5.621564559987746e-05,0.049202874302864075,1800
16,s2_gy,2,s2_right_calf,1,gyro,1,y,0.002957736462075344,0.0038154425508536947,4.519917274592444e-05,0.06000354140996933,1800
5,s0_gz,0,s0_lower_back,1,gyro,2,z,0.002672203367594395,0.0025643537936178933,3.0265420718933456e-05,0.017228098586201668,1800
17,s2_gz,2,s2_right_calf,1,gyro,2,z,0.0024845490138189538,0.003551239447075339,5.019176023779437e-05,0.0199595857411623,1800
