class_id,channel_index,channel_name,sensor_name,modality_name,axis_name,mean_attention_weight,std_attention_weight,min_attention_weight,max_attention_weight,n
0,6,s1_ax,s1_right_thigh,acc,x,0.37172705779731685,0.33597492939146195,0.005302310921251774,0.9649173021316528,360
0,1,s0_ay,s0_lower_back,acc,y,0.25408044683766395,0.33450419345003457,0.00016339324065484107,0.9057040214538574,360
0,8,s1_az,s1_right_thigh,acc,z,0.07818529952799307,0.12074874852591107,0.0005572790396399796,0.7128661274909973,360
0,13,s2_ay,s2_right_calf,acc,y,0.0705178449923551,0.12324957691448923,0.00018151995027437806,0.6842555403709412,360
0,0,s0_ax,s0_lower_back,acc,x,0.0644498390009782,0.08218230998376114,0.0011138024274259806,0.6279107928276062,360
0,12,s2_ax,s2_right_calf,acc,x,0.06191070726700774,0.10454331067178291,0.0003110690740868449,0.7959028482437134,360
0,14,s2_az,s2_right_calf,acc,z,0.03106593595512095,0.09070280626441846,0.00033076494582928717,0.4596620500087738,360
0,7,s1_ay,s1_right_thigh,acc,y,0.02374445654891638,0.03812477977089294,0.00018072317470796406,0.2575298249721527,360
0,2,s0_az,s0_lower_back,acc,z,0.010964167879925905,0.012922580529648323,8.275617437902838e-05,0.12223033607006073,360
0,9,s1_gx,s1_right_thigh,gyro,x,0.006311449299553512,0.00808983933290059,0.0002793668827507645,0.0491497740149498,360
0,10,s1_gy,s1_right_thigh,gyro,y,0.004530569347601461,0.005288273706730985,0.00028281923732720315,0.03682655468583107,360
0,4,s0_gy,s0_lower_back,gyro,y,0.0037263015256838927,0.00383590376115825,5.5336320656351745e-05,0.015873242169618607,360
0,3,s0_gx,s0_lower_back,gyro,x,0.003654613027689872,0.002776917026907291,4.2789371946128085e-05,0.016505856066942215,360
0,15,s2_gx,s2_right_calf,gyro,x,0.0033888398265844444,0.003747810644008193,5.621564559987746e-05,0.018136674538254738,360
0,11,s1_gz,s1_right_thigh,gyro,z,0.003219282729120702,0.003283304529658369,5.9287089243298396e-05,0.015148571692407131,360
0,16,s2_gy,s2_right_calf,gyro,y,0.002895695612864478,0.0029351061489546774,0.00014017654757481068,0.011177278123795986,360
0,5,s0_gz,s0_lower_back,gyro,z,0.0028736772344523666,0.002461518443033203,3.7184261600486934e-05,0.013554970733821392,360
0,17,s2_gz,s2_right_calf,gyro,z,0.002753817093758294,0.003928718296112659,8.158212585840374e-05,0.018857382237911224,360
1,6,s1_ax,s1_right_thigh,acc,x,0.3333292055137766,0.33999977681562243,0.004790706560015678,0.9536634683609009,360
1,1,s0_ay,s0_lower_back,acc,y,0.2679570016355784,0.32537647570545686,0.00046939647290855646,0.9266875386238098,360
1,13,s2_ay,s2_right_calf,acc,y,0.0791198599641373,0.11153641941827822,0.00021654907322954386,0.5841559767723083,360
1,8,s1_az,s1_right_thigh,acc,z,0.06470117374895684,0.10585401445879355,0.0006748430896550417,0.5705820918083191,360
1,0,s0_ax,s0_lower_back,acc,x,0.0629270867522185,0.07272714542406329,0.0012714072363451123,0.3594883382320404,360
1,14,s2_az,s2_right_calf,acc,z,0.05332542939472155,0.1404931918816592,0.0003951543476432562,0.8606337308883667,360
