model_name,total_params,encoder_params,aggregation_params,head_params,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,macro_f1_ci_low,macro_f1_ci_high,mean_best_epoch,n_success_runs,n_failed_runs,model_group
controlled_2d_cnn,14853,8256,2112,4485,0.5055555555555555,0.17385249885470352,0.4451748097281286,0.2098129610825527,0.4451748097281286,0.2098129610825527,0.3471934402766406,0.5412715967098864,86.94444444444444,18,0,controlled_neural
controlled_all_channel_1d_cnn,20197,15712,0,4485,0.8250000000000002,0.10280780342194092,0.7993945208514475,0.12422437287984317,0.7993945208514475,0.12422437287984314,0.7404094533714112,0.8563844185203016,20.61111111111111,18,0,controlled_neural
controlled_all_channel_1d_cnn_small,11317,4720,2112,4485,0.7805555555555557,0.13721322507616557,0.7561545162134669,0.1560104084958384,0.7561545162134669,0.1560104084958384,0.6785924371587754,0.824194502452898,23.0,18,0,controlled_neural
controlled_flatten_mlp,594373,0,589888,4485,0.7344444444444443,0.18622633249242773,0.7045902580171839,0.2285916002637764,0.7045902580171839,0.22859160026377642,0.5953125642450013,0.8074428108834005,11.333333333333334,18,0,controlled_neural
controlled_shared_1d,7093,2608,0,4485,0.3499999999999999,0.1108552609887726,0.28058877693616635,0.12473684080935957,0.28058877693616635,0.12473684080935957,0.22333599769000584,0.3385262015234976,61.55555555555556,18,0,controlled_neural
controlled_shared_1d_identity,8885,2736,1664,4485,0.5616666666666666,0.1587538276004008,0.5182055376311773,0.1743145704275121,0.5182055376311773,0.17431457042751208,0.4334544907857308,0.5968354523302466,104.33333333333333,18,0,controlled_neural
controlled_shared_1d_residual,20021,2608,12928,4485,0.8094444444444444,0.11037673981123933,0.8004316129351925,0.12074831631564133,0.8004316129351925,0.1207483163156413,0.7422700792887282,0.8540042764680168,37.333333333333336,18,0,controlled_neural
controlled_shared_1d_residual_identity,21813,2736,14592,4485,0.8072222222222222,0.10618670954479482,0.7973192046953161,0.11786574041252466,0.7973192046953163,0.11786574041252465,0.7397056107022093,0.8493053303049378,33.94444444444444,18,0,controlled_neural
controlled_stats_mlp,9157,0,4672,4485,0.825,0.08493461537493939,0.817383971028595,0.09203337539249694,0.817383971028595,0.09203337539249692,0.7743768338536736,0.8583650993157151,34.94444444444444,18,0,controlled_neural
