experiment,rows,fit_windows_unique,val_indices_used_in_scaler_any,test_indices_used_in_scaler_any,scaler_leakage_all_passed,note
Controlled feature extractor comparison,252,400,False,False,True,StandardScaler fit scope is train indices only.
XGBoost completion,18,400,False,False,True,StandardScaler fit scope is train indices only.
