model_name,total_params,encoder_params,aggregation_params,head_params,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,macro_f1_ci_low,macro_f1_ci_high,mean_best_epoch,n_success_runs,n_failed_runs
all_channel_conv1d_small,4181,4056,0,125,0.8044444444444445,0.1207946936942652,0.7740403941293481,0.15003005382963938,0.7740403941293481,0.15003005382963938,0.7025691524476092,0.842422439652029,26.0,18,0
all_channel_conv1d_v1,16037,15712,0,325,0.783888888888889,0.1781740375428502,0.7531393987017094,0.20875422275948866,0.7531393987017094,0.2087542227594886,0.650168423737199,0.8429069579155765,17.72222222222222,18,0
channel_shared_attentionpool_v2,2950,2064,273,613,0.3794444444444445,0.10839599327477327,0.3135918551332716,0.127523637382928,0.3135918551332716,0.12752363738292796,0.2552738833501098,0.3731084452740907,90.44444444444444,18,0
channel_shared_meanpool_v2,2677,2064,0,613,0.3172222222222223,0.1058198445763971,0.23562189225932625,0.1262806709034999,0.23562189225932625,0.1262806709034999,0.1779707252050326,0.2954568352480717,61.166666666666664,18,0
channel_shared_posres_attention_v3,14742,2064,8193,4485,0.8216666666666668,0.08394773506308685,0.81082481387536,0.09561278754006769,0.81082481387536,0.09561278754006769,0.7644350120236636,0.8536918539514888,37.611111111111114,18,0
cnn2d_baseline_v1,8421,8256,0,165,0.44722222222222224,0.1529998386184899,0.36883441581502296,0.1697711948153554,0.36883441581502296,0.16977119481535544,0.290364976271034,0.44891438345533047,65.33333333333333,18,0
modality_shared_sensorattn_v3,16103,4128,9730,2245,0.6444444444444444,0.18547902613449982,0.6023492027344007,0.21209795462825212,0.6023492027344007,0.2120979546282521,0.500320234965126,0.6944303967558907,79.22222222222223,18,0
