model_name,class_id,class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,total_support
cnn_gru_literature_v1,0,Correct,0.4794248066052577,0.35877138668831676,0.41944444444444445,0.3670978104935193,0.39539487999029066,0.30715373224589076,360
cnn_gru_literature_v1,1,Knee Valgus,0.7940892748709025,0.2786891831330299,0.8111111111111112,0.25956991969385923,0.7229567056268819,0.2526540808638794,360
cnn_gru_literature_v1,2,Butt Wink,0.4260249090622956,0.2877977422943771,0.3888888888888889,0.3426026024563686,0.35423683139994616,0.26906312285181133,360
cnn_gru_literature_v1,3,Excessive Lean,0.6091196716196715,0.33037250798460677,0.5944444444444444,0.36243347622889094,0.5462268734170062,0.30278840719825895,360
cnn_gru_literature_v1,4,Partial Squat,0.5811839619890466,0.34258093699894493,0.525,0.36410087124922463,0.5037581321399547,0.3325923812697106,360
cnn_lstm_literature_v1,0,Correct,0.5550371794942924,0.3518789056567338,0.6166666666666667,0.3711842908553348,0.5204752911680603,0.3067241381818229,360
cnn_lstm_literature_v1,1,Knee Valgus,0.8214193684204161,0.2775891973221538,0.8916666666666667,0.20155644370746373,0.7973830060947519,0.24843306895560777,360
cnn_lstm_literature_v1,2,Butt Wink,0.4817293316704181,0.23446269830084168,0.461111111111111,0.3264095738126307,0.42745989682463653,0.24264533512482217,360
cnn_lstm_literature_v1,3,Excessive Lean,0.614321906733228,0.35780628514644586,0.48888888888888893,0.40467941892165143,0.4655637026573954,0.3327293235234398,360
cnn_lstm_literature_v1,4,Partial Squat,0.6481997677119629,0.29364644922369665,0.41944444444444445,0.3375314342928707,0.4515317204067259,0.29771391684594684,360
feature_linear_svm_v1,0,Correct,0.7434640661271097,0.24544069243183822,0.6444444444444444,0.2510471895043334,0.6620504556451193,0.23979540325084203,360
feature_linear_svm_v1,1,Knee Valgus,0.8208747466060696,0.19000914830356228,0.9472222222222223,0.07723021541365468,0.8624834725422286,0.10961806468145502,360
feature_linear_svm_v1,2,Butt Wink,0.7702717024590258,0.20113407083964674,0.6694444444444445,0.2824195504371746,0.6617822424892502,0.1675572687417159,360
feature_linear_svm_v1,3,Excessive Lean,0.6985809714976381,0.22360979810337328,0.6055555555555556,0.39366119417904166,0.5799837240659473,0.3107537511156097,360
feature_linear_svm_v1,4,Partial Squat,0.8719380156880158,0.17142880171925426,0.8638888888888888,0.2066972796920626,0.8403346963974843,0.17199335802649038,360
feature_random_forest_v1,0,Correct,0.626563746591738,0.32464816496473586,0.675,0.343288832067433,0.621770128979823,0.2994409037354687,360
feature_random_forest_v1,1,Knee Valgus,0.8443539859088535,0.22214859041910628,0.9611111111111111,0.0858868046318906,0.8760650182806011,0.1502382444366363,360
feature_random_forest_v1,2,Butt Wink,0.8829665806745604,0.14362557747108845,0.7861111111111111,0.2271841858954704,0.7947843240107706,0.15165210182423938,360
feature_random_forest_v1,3,Excessive Lean,0.8130879989575642,0.19384812712552,0.65,0.32015621187164245,0.6847691300101206,0.2587247607568341,360
feature_random_forest_v1,4,Partial Squat,0.9437092613293987,0.07474423215927628,0.9555555555555555,0.07617394000445603,0.9452363611096407,0.04628722307094322,360
lee_style_cnn_lstm_2d_v1,0,Correct,0.6017695373496027,0.345999964072147,0.5916666666666667,0.36180488910154013,0.5356912217846123,0.2902113999986348,360
lee_style_cnn_lstm_2d_v1,1,Knee Valgus,0.852382852063159,0.25357375184265635,0.8916666666666667,0.16520189667999172,0.8295130709449338,0.1898970349124661,360
lee_style_cnn_lstm_2d_v1,2,Butt Wink,0.7519455280033196,0.30072001310373037,0.5222222222222223,0.3594835115297062,0.5098238009538157,0.23456374618910855,360
lee_style_cnn_lstm_2d_v1,3,Excessive Lean,0.5515306904775595,0.35771218074374744,0.4861111111111111,0.41660184680991524,0.46074950339347925,0.3396794232861467,360
lee_style_cnn_lstm_2d_v1,4,Partial Squat,0.8148501164360051,0.2573067743701755,0.8194444444444444,0.13858299648073802,0.7986920516351483,0.18620965342248003,360
rescnn_bigru_attention_lite_v1,0,Correct,0.6642770005088845,0.35480541121379505,0.688888888888889,0.3599982853182759,0.6582132377573015,0.33823962798364404,360
rescnn_bigru_attention_lite_v1,1,Knee Valgus,0.9171146829394912,0.15210944245688682,0.8972222222222221,0.1806410054209901,0.8968543544366985,0.15297058337354755,360
rescnn_bigru_attention_lite_v1,2,Butt Wink,0.8560729394062726,0.198641646406083,0.7916666666666666,0.225,0.7743020660678499,0.1415568569053235,360
rescnn_bigru_attention_lite_v1,3,Excessive Lean,0.715199758744329,0.3036822634705864,0.6833333333333332,0.36324157862838946,0.655228315956381,0.29807271160547094,360
rescnn_bigru_attention_lite_v1,4,Partial Squat,0.8445110963493316,0.2792025268401058,0.911111111111111,0.2294652936451487,0.8610560984792996,0.24445190329845265,360
tcn_literature_v1,0,Correct,0.6328703703703703,0.4166340007771408,0.5583333333333332,0.441037287413308,0.549646997882292,0.41126682709271145,360
tcn_literature_v1,1,Knee Valgus,0.8643220331368914,0.24694327888996379,0.9277777777777777,0.2237447840622474,0.8425498281633994,0.25479958624430127,360
tcn_literature_v1,2,Butt Wink,0.8062178272237717,0.18601870241765459,0.8138888888888889,0.23082313789491368,0.7694092420603649,0.18575207485442533,360
tcn_literature_v1,3,Excessive Lean,0.6810274408882999,0.36842407382036796,0.6166666666666667,0.40483192671637064,0.5649870204758142,0.3547710168813695,360
tcn_literature_v1,4,Partial Squat,0.8857685524352191,0.2504756765575357,0.8638888888888889,0.2961819802623022,0.8487988670385277,0.2676916115274424,360
transformer_encoder_lite_v1,0,Correct,0.6888986878707863,0.35616576798675054,0.7666666666666667,0.35197853469904794,0.7078990190623907,0.3334231953928998,360
transformer_encoder_lite_v1,1,Knee Valgus,0.8864978842095547,0.19236614907054866,0.9944444444444444,0.015713484026367734,0.9228899062139325,0.1433696485481687,360
transformer_encoder_lite_v1,2,Butt Wink,0.7768971139703054,0.19514813080469018,0.7444444444444444,0.280816710135558,0.6877559743197798,0.16234904231927416,360
transformer_encoder_lite_v1,3,Excessive Lean,0.891538382594417,0.15172110165337827,0.5055555555555555,0.3554687394010309,0.5389618038221521,0.29386045795476046,360
transformer_encoder_lite_v1,4,Partial Squat,0.9466928630907125,0.09188658103358044,0.9305555555555556,0.11072850793330417,0.9327372969160138,0.08624328402324852,360
