reference_model,comparison_model,metric,mean_difference,std_difference,ci_low,ci_high,n_pairs
feature_random_forest_v1,feature_xgboost_v1,macro_f1,0.011618892785540525,0.05845872829304232,-0.014546471186839204,0.039839656253243615,18
controlled_stats_mlp,feature_xgboost_v1,macro_f1,-0.021240085764863265,0.08273207157509553,-0.059398476264448496,0.01708112242491516,18
controlled_shared_1d_residual,feature_xgboost_v1,macro_f1,-0.004287727671460832,0.07466525612564856,-0.03845682566427537,0.030439809736415187,18
controlled_shared_1d_residual_identity,feature_xgboost_v1,macro_f1,-0.0011753194315845847,0.06963331874975551,-0.03280006573543378,0.030984108845500603,18
controlled_all_channel_1d_cnn,feature_xgboost_v1,macro_f1,-0.00325063558771589,0.12016456297552425,-0.05707363066002744,0.05334039576134643,18
