group_type,group_name,v3_mean_attention_weight,rf_mean_channel_importance,rf_sum_channel_importance
axis,x,0.08148301360012503,0.07943943341930158,0.47663660051580947
axis,y,0.06194609628542855,0.04328819851324763,0.2597291910794858
axis,z,0.023237556838719652,0.04393903473411747,0.2636342084047048
modality,acc,0.10756750231321033,0.07230522831901083,0.6507470548710975
modality,gyro,0.003543608836305142,0.03880588279210027,0.3492529451289024
sensor,s0_lower_back,0.06016669802722036,0.040889095521127496,0.245334573126765
sensor,s1_right_thigh,0.07606941412321046,0.08733977504529829,0.5240386502717898
sensor,s2_right_calf,0.03043055457384239,0.03843779610024089,0.23062677660144534
