class_id,channel_index,channel_name,sensor_name,modality_name,axis_name,mean_attention_weight,std_attention_weight,min_attention_weight,max_attention_weight,n,rank_within_class
0,6,s1_ax,s1_right_thigh,acc,x,0.37172705779731685,0.33597492939146195,0.005302310921251774,0.9649173021316528,360,1
0,1,s0_ay,s0_lower_back,acc,y,0.25408044683766395,0.33450419345003457,0.00016339324065484107,0.9057040214538574,360,2
0,8,s1_az,s1_right_thigh,acc,z,0.07818529952799307,0.12074874852591107,0.0005572790396399796,0.7128661274909973,360,3
0,13,s2_ay,s2_right_calf,acc,y,0.0705178449923551,0.12324957691448923,0.00018151995027437806,0.6842555403709412,360,4
0,0,s0_ax,s0_lower_back,acc,x,0.0644498390009782,0.08218230998376114,0.0011138024274259806,0.6279107928276062,360,5
1,6,s1_ax,s1_right_thigh,acc,x,0.3333292055137766,0.33999977681562243,0.004790706560015678,0.9536634683609009,360,1
1,1,s0_ay,s0_lower_back,acc,y,0.2679570016355784,0.32537647570545686,0.00046939647290855646,0.9266875386238098,360,2
1,13,s2_ay,s2_right_calf,acc,y,0.0791198599641373,0.11153641941827822,0.00021654907322954386,0.5841559767723083,360,3
1,8,s1_az,s1_right_thigh,acc,z,0.06470117374895684,0.10585401445879355,0.0006748430896550417,0.5705820918083191,360,4
1,0,s0_ax,s0_lower_back,acc,x,0.0629270867522185,0.07272714542406329,0.0012714072363451123,0.3594883382320404,360,5
2,6,s1_ax,s1_right_thigh,acc,x,0.3565423078810757,0.36300694606568035,0.0009670106810517609,0.9862193465232849,360,1
2,1,s0_ay,s0_lower_back,acc,y,0.23523966097648857,0.3114356289123235,0.00018312597239855677,0.817148745059967,360,2
2,7,s1_ay,s1_right_thigh,acc,y,0.10390301283540693,0.24725074033020267,9.389462502440438e-05,0.9850991368293762,360,3
2,8,s1_az,s1_right_thigh,acc,z,0.07412302707849044,0.12878345979287126,0.00029586540767923,0.6450971961021423,360,4
2,0,s0_ax,s0_lower_back,acc,x,0.06818166058575217,0.09386530467238004,0.000950683606788516,0.5402867197990417,360,5
3,6,s1_ax,s1_right_thigh,acc,x,0.2972153672043027,0.32919811912183056,0.003498147241771221,0.9313845634460449,360,1
3,1,s0_ay,s0_lower_back,acc,y,0.2420575421199222,0.311567828971695,0.00024553373805247247,0.7939267754554749,360,2
3,0,s0_ax,s0_lower_back,acc,x,0.17964440537600443,0.2667005579596295,0.0005041822441853583,0.9630281329154968,360,3
3,8,s1_az,s1_right_thigh,acc,z,0.0920654915549676,0.152055443197885,0.0002063764404738322,0.7390618324279785,360,4
3,12,s2_ax,s2_right_calf,acc,x,0.05758930347898664,0.11635242349478205,0.00024320775992237031,0.6927670240402222,360,5
4,1,s0_ay,s0_lower_back,acc,y,0.2708724751906023,0.3415729571843599,0.00024525035405531526,0.8700236678123474,360,1
4,6,s1_ax,s1_right_thigh,acc,x,0.2546011065443357,0.3234919304891323,0.0009814755758270621,0.8836312890052795,360,2
4,12,s2_ax,s2_right_calf,acc,x,0.13420295244391633,0.23773378872419704,0.00031121837673708797,0.9241822361946106,360,3
4,8,s1_az,s1_right_thigh,acc,z,0.08166474272196259,0.11665862598362481,0.0002811257727444172,0.40693244338035583,360,4
4,13,s2_ay,s2_right_calf,acc,y,0.07307077305805353,0.13607987286899395,0.00017860857769846916,0.7598509788513184,360,5
