model_name,metric,mean,ci_low,ci_high,n
cnn_gru_literature_v1,accuracy,0.5477777777777778,0.44777777777777783,0.6477916666666665,18
cnn_gru_literature_v1,macro_f1,0.504514684514816,0.3900979059519772,0.6202152424549698,18
cnn_gru_literature_v1,weighted_f1,0.504514684514816,0.3900979059519772,0.6202152424549698,18
cnn_lstm_literature_v1,accuracy,0.5755555555555555,0.4861111111111111,0.6644444444444444,18
cnn_lstm_literature_v1,macro_f1,0.5324827234303142,0.4297629886454323,0.63338006687807,18
cnn_lstm_literature_v1,weighted_f1,0.5324827234303142,0.42976298864543233,0.63338006687807,18
feature_linear_svm_v1,accuracy,0.746111111111111,0.6927777777777777,0.8005555555555556,18
feature_linear_svm_v1,macro_f1,0.721326918228006,0.6612486782916431,0.7828279485470191,18
feature_linear_svm_v1,weighted_f1,0.721326918228006,0.6612486782916431,0.7828279485470192,18
feature_random_forest_v1,accuracy,0.8055555555555555,0.7611111111111111,0.8505555555555555,18
feature_random_forest_v1,macro_f1,0.7845249924781911,0.7317878001513041,0.8376471239011969,18
feature_random_forest_v1,weighted_f1,0.7845249924781912,0.7317878001513041,0.8376471239011969,18
lee_style_cnn_lstm_2d_v1,accuracy,0.6622222222222222,0.5783333333333334,0.7355555555555556,18
lee_style_cnn_lstm_2d_v1,macro_f1,0.6268939297423978,0.523712503243493,0.7165242396496089,18
lee_style_cnn_lstm_2d_v1,weighted_f1,0.6268939297423979,0.523712503243493,0.7165242396496089,18
rescnn_bigru_attention_lite_v1,accuracy,0.7944444444444444,0.7472222222222223,0.84,18
rescnn_bigru_attention_lite_v1,macro_f1,0.7691308145395062,0.7076484203493665,0.8269764709391504,18
rescnn_bigru_attention_lite_v1,weighted_f1,0.7691308145395062,0.7076484203493665,0.8269764709391504,18
tcn_literature_v1,accuracy,0.7561111111111111,0.6694444444444444,0.8388888888888889,18
tcn_literature_v1,macro_f1,0.7150783911240796,0.6089775470524388,0.8154748865333296,18
tcn_literature_v1,weighted_f1,0.7150783911240796,0.6089775470524388,0.8154748865333296,18
transformer_encoder_lite_v1,accuracy,0.7883333333333333,0.7283333333333334,0.8372222222222222,18
transformer_encoder_lite_v1,macro_f1,0.7580488000668537,0.6859914703966926,0.8188456608523291,18
transformer_encoder_lite_v1,weighted_f1,0.7580488000668537,0.6859914703966926,0.8188456608523291,18
